id,first_name,last_name,gender,dob,address,city,state,zip
1,William,Hartnell,M,4/18/1980,1 Hope Lane,Rochester,NY,14623
2,Patrick,Troughton,M,1/9/1972,99 Easy Street,Webster,NY,14580
3,Jon,Pertwee,M,7/12/1990,5 Main Street,Oakland,NY,14963
4,Tom,Baker,M,11/3/1991,39 Fox Run,Syracuse,NY,13201
5,Peter,Davison,M,7/21/1986,228 Loden Lane,Belgrade,NY,11320
6,Colin,Baker,M,2/19/1981,790 James Road,Buffalo,NY,20931
7,Sylvester,McCoy,M,1/10/1960,34 Culliver Drive,Rochester,NY,14623
8,Paul,McGann,M,9/27/1971,15 Rome Avenue,Rochester,NY,14623
9,Christopher,Eccleston,M,1/2/1990,5 Main Street,Rochester,NY,14623
10,David,Tennant,M,8/8/1980,12 Ridge Road,Rochester,NY,14623
11,Matt,Smith,M,7/7/1970,99 Jefferson Road,Rochester,NY,14623
